timestamp,G1,G2,G3,G4,G5,G6,total_vehicles,Label,seconds
1970-01-01 00:15:40,0,0,0,0,1,0,1,LOW,940
1970-01-01 00:15:41,0,0,1,1,0,1,3,HEAVY,941
1970-01-01 00:15:44,0,1,0,0,0,0,1,LOW,944
1970-01-01 00:15:47,1,0,0,0,0,0,1,LOW,947
1970-01-01 00:15:50,0,0,0,1,1,1,3,HEAVY,950
1970-01-01 00:15:57,0,0,1,0,0,0,1,LOW,957
1970-01-01 00:16:00,0,1,0,0,0,0,1,LOW,960
1970-01-01 00:16:01,0,0,0,1,0,0,1,LOW,961
1970-01-01 00:16:02,1,0,0,0,1,1,3,HEAVY,962
1970-01-01 00:16:10,0,0,0,1,0,0,1,LOW,970
1970-01-01 00:16:11,0,0,0,0,0,1,1,LOW,971
1970-01-01 00:16:12,1,0,0,0,1,0,2,MEDIUM,972
1970-01-01 00:16:13,0,0,1,0,0,0,1,LOW,973
1970-01-01 00:16:20,0,1,0,1,0,1,3,HEAVY,980
1970-01-01 00:16:24,0,0,0,0,1,0,1,LOW,984
1970-01-01 00:16:25,1,0,0,0,0,0,1,LOW,985
1970-01-01 00:16:28,0,0,1,0,0,0,1,LOW,988
1970-01-01 00:16:29,0,0,0,0,0,1,1,LOW,989
1970-01-01 00:16:30,0,0,0,1,0,0,1,LOW,990
1970-01-01 00:16:33,0,0,0,0,1,0,1,LOW,993
1970-01-01 00:16:37,0,0,1,0,0,0,1,LOW,997
1970-01-01 00:16:39,1,0,0,0,0,0,1,LOW,999
1970-01-01 00:16:40,0,1,0,1,0,1,3,HEAVY,1000
1970-01-01 00:16:43,0,0,0,0,1,0,1,LOW,1003
1970-01-01 00:16:47,0,0,1,0,0,0,1,LOW,1007
1970-01-01 00:16:49,0,0,0,1,0,1,2,MEDIUM,1009
1970-01-01 00:16:56,0,0,0,0,1,0,1,LOW,1016
1970-01-01 00:16:57,0,1,0,0,0,0,1,LOW,1017
1970-01-01 00:16:58,0,0,0,1,0,1,2,MEDIUM,1018
1970-01-01 00:17:00,0,0,1,0,0,0,1,LOW,1020
1970-01-01 00:17:06,1,0,0,0,1,0,2,MEDIUM,1026
1970-01-01 00:17:08,0,1,0,0,0,1,2,MEDIUM,1028
1970-01-01 00:17:09,0,0,0,1,0,0,1,LOW,1029
1970-01-01 00:17:10,0,0,1,0,0,0,1,LOW,1030
1970-01-01 00:17:16,0,0,0,0,1,0,1,LOW,1036
1970-01-01 00:17:17,1,0,0,0,0,0,1,LOW,1037
1970-01-01 00:17:18,0,0,0,0,0,1,1,LOW,1038
1970-01-01 00:17:20,0,1,0,1,0,0,2,MEDIUM,1040
